sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],ppp,0,0,0,0,0,0
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,['note_on'],[0],[67],[64],mp,0,1,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,"['note_off', 'note_on']","[0, 0]","[67, 72]","[44, 64]",p,0,2,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_off', 'note_on']","[0, 0]","[72, 76]","[77, 64]",mp,0,2,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,"['note_off', 'note_on']","[0, 0]","[76, 67]","[52, 64]",p,0,2,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,"['note_off', 'note_on']","[0, 0]","[67, 72]","[32, 64]",pp,0,2,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,"['note_off', 'note_on']","[0, 0]","[72, 76]","[72, 64]",mp,0,2,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,['note_off'],[0],[76],[65],mp,0,1,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[67],[64],mp,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,"['note_off', 'note_on']","[0, 0]","[67, 72]","[46, 64]",p,0,2,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,"['note_off', 'note_on']","[0, 0]","[72, 76]","[68, 64]",mp,0,2,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_off', 'note_on']","[0, 0]","[76, 67]","[47, 64]",p,0,2,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,"['note_off', 'note_on']","[0, 0]","[67, 72]","[40, 64]",p,0,2,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,"['note_off', 'note_on']","[0, 0]","[72, 76]","[80, 64]",mp,0,2,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,['note_off'],[0],[76],[50],p,0,1,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[69],[64],mp,0,1,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_off', 'note_on']","[0, 0]","[69, 74]","[35, 64]",p,0,2,0,0,0,0
