sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],ppp,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[81, 57, 69]","[81, 62, 70]",mp,0,3,0,0,0,0
0.9,"['note_off', 'note_off', 'note_off']","[0, 0, 0]","[81, 57, 69]","[0, 0, 0]",ppp,0,3,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 52, 64]","[79, 66, 53]",mp,0,3,0,0,"[2, 60]",0
1.2,"['note_off', 'note_off', 'note_off']","[0, 0, 0]","[76, 52, 64]","[0, 0, 0]",ppp,0,3,0,0,"[96, 112, 124, 127]",0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],ppp,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,"['note_on', 'note_on']","[0, 0]","[52, 64]","[40, 44]",pp,0,2,0,0,0,0
2.1,"['note_on', 'note_on', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[62, 50, 64, 52, 61, 49]","[46, 40, 0, 0, 63, 44]",ppp,0,6,0,0,0,0
2.2,"['note_off', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[62, 59, 50, 61]","[0, 75, 0, 0]",ppp,0,4,0,0,0,0
