chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,94.5,97.0,84.27,100.0,94.0
1,96.5,93.0,82.96,100.0,92.8
2,97.5,96.0,85.45,92.0,91.6
3,96.5,92.0,66.16,96.0,91.6
4,99.5,80.0,77.91,64.0,92.8
5,100.0,90.0,80.4,96.0,91.6
6,98.0,92.0,89.1,100.0,92.8
7,97.5,77.0,78.06,52.0,91.6
8,99.0,74.0,95.88,24.0,89.2
9,95.5,91.0,88.47,76.0,90.4
10,96.0,93.0,73.51,80.0,88.0
11,97.0,87.0,73.16,68.0,91.6
12,98.5,92.0,89.97,80.0,92.8
13,100.0,82.0,89.18,36.0,92.8
14,93.5,80.0,77.31,36.0,90.4
15,97.5,89.0,77.38,80.0,92.8
16,97.5,93.0,77.09,84.0,92.8
17,91.43,94.0,65.64,49.21,96.4
