chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,97.5,93.0,81.96,100.0,88.0
1,98.0,91.0,87.64,100.0,88.0
2,97.0,90.0,84.68,100.0,88.0
3,97.0,91.0,72.15,100.0,90.4
4,98.5,86.0,64.68,88.0,88.0
5,95.5,92.0,80.07,100.0,88.0
6,99.0,91.0,75.4,100.0,92.8
7,97.0,93.0,78.44,100.0,90.4
8,96.0,88.0,83.27,100.0,85.6
9,99.0,84.0,62.14,82.0,85.6
10,96.0,89.0,82.87,100.0,85.6
11,95.5,88.0,73.71,100.0,88.0
12,97.0,87.0,89.78,100.0,88.0
13,97.0,86.0,84.46,100.0,88.0
14,94.0,85.0,77.75,94.0,85.6
15,97.5,84.0,82.77,94.0,88.0
16,99.5,88.0,88.97,94.0,83.2
17,90.0,88.0,58.25,90.48,90.4
