chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,92.5,96.0,75.36,96.0,94.0
1,82.0,88.0,75.46,84.0,91.6
2,67.0,85.0,72.58,76.0,90.4
3,73.5,85.0,77.52,84.0,90.4
4,81.0,80.0,83.47,52.0,92.8
5,67.5,77.0,86.58,56.0,91.6
6,97.0,76.0,81.59,84.0,92.8
7,84.0,73.0,73.27,10.0,90.4
8,77.0,66.0,64.57,6.0,88.0
9,91.5,81.0,66.39,68.0,91.6
10,79.5,86.0,79.64,76.0,90.4
11,90.5,92.0,76.96,84.0,89.2
12,82.5,91.0,73.43,76.0,92.8
13,76.0,81.0,83.98,10.0,91.6
14,76.5,89.0,74.63,48.0,89.2
15,92.5,82.0,68.02,48.0,91.6
16,95.0,93.0,80.54,88.0,90.4
17,78.33,93.0,52.27,100.0,95.2
