chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,91.5,91.0,71.51,96.0,94.0
1,88.0,81.0,85.59,84.0,91.6
2,84.5,86.0,85.17,88.0,90.4
3,88.5,83.0,70.7,84.0,92.8
4,90.0,81.0,75.07,60.0,92.8
5,87.5,78.0,59.29,72.0,91.6
6,91.0,80.0,79.94,96.0,91.6
7,80.0,80.0,86.93,18.0,91.6
8,87.5,75.0,82.02,8.0,90.4
9,92.0,75.0,80.66,56.0,91.6
10,93.5,86.0,66.36,80.0,91.6
11,79.5,90.0,73.14,80.0,91.6
12,96.5,91.0,81.18,84.0,91.6
13,90.5,79.0,80.66,10.0,91.6
14,89.5,82.0,75.93,32.0,90.4
15,96.0,81.0,86.05,68.0,92.8
16,94.5,96.0,71.21,80.0,91.6
17,86.43,96.0,61.52,81.82,95.2
