chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,85.5,94.0,85.37,100.0,95.2
1,92.5,87.0,86.58,92.0,91.6
2,88.0,85.0,75.39,96.0,91.6
3,87.0,86.0,72.87,92.0,91.6
4,94.0,88.0,83.46,96.0,92.8
5,91.0,86.0,68.74,92.0,94.0
6,84.0,81.0,79.1,100.0,90.4
7,89.5,72.0,76.62,30.0,91.6
8,91.0,66.0,85.59,10.0,90.4
9,96.5,86.0,98.7,84.0,94.0
10,89.0,88.0,80.3,92.0,91.6
11,94.5,93.0,77.45,88.0,92.8
12,84.5,92.0,76.86,96.0,91.6
13,95.5,72.0,77.59,16.0,92.8
14,92.0,81.0,79.54,34.0,90.4
15,95.5,84.0,64.26,84.0,94.0
16,94.0,91.0,73.28,96.0,90.4
17,92.14,94.0,73.06,81.25,94.0
