chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,98.5,93.0,87.51,100.0,92.8
1,94.0,88.0,93.1,100.0,89.2
2,93.5,91.0,81.11,100.0,86.8
3,98.0,87.0,81.64,96.0,88.0
4,98.0,86.0,66.91,84.0,91.6
5,96.5,84.0,76.53,100.0,86.8
6,99.0,97.0,75.94,100.0,92.8
7,94.5,85.0,91.93,96.0,91.6
8,96.0,85.0,84.11,100.0,91.6
9,96.5,80.0,78.79,82.0,91.6
10,97.0,84.0,78.44,100.0,94.0
11,97.0,86.0,70.81,100.0,88.0
12,97.0,86.0,75.81,100.0,89.2
13,97.0,83.0,89.52,100.0,90.4
14,94.0,83.0,82.09,90.0,92.8
15,99.0,87.0,76.91,84.0,90.4
16,99.5,87.0,82.77,90.0,100.0
17,93.57,93.0,72.62,83.87,91.6
