chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,94.5,95.0,95.56,96.0,92.8
1,93.0,83.0,86.19,72.0,91.6
2,96.0,85.0,83.63,80.0,91.6
3,94.5,74.0,65.91,28.0,94.0
4,100.0,84.0,83.87,72.0,94.0
5,100.0,90.0,70.23,96.0,91.6
6,97.0,75.0,71.75,72.0,91.6
7,95.0,75.0,65.09,0.0,92.8
8,96.5,77.0,78.01,42.0,90.4
9,97.0,77.0,66.26,44.0,92.8
10,95.0,84.0,90.08,60.0,91.6
11,96.5,91.0,79.8,96.0,94.0
12,97.5,90.0,79.42,64.0,92.8
13,98.5,86.0,78.64,42.0,92.8
14,95.0,89.0,75.87,84.0,90.4
15,98.5,82.0,76.46,48.0,94.0
16,99.0,90.0,76.63,76.0,91.6
17,92.14,92.0,69.09,8.2,95.2
