chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,98.5,92.0,92.35,100.0,98.8
1,96.5,92.0,77.56,100.0,100.0
2,95.0,88.0,89.72,100.0,100.0
3,98.0,89.0,66.2,100.0,95.2
4,99.0,91.0,82.28,94.0,98.8
5,94.5,87.0,76.02,100.0,98.8
6,99.0,95.0,76.66,100.0,96.4
7,98.5,87.0,84.09,96.0,96.4
8,95.5,82.0,86.76,100.0,98.8
9,97.0,83.0,83.42,78.0,95.2
10,97.0,86.0,71.48,96.0,100.0
11,95.5,85.0,64.85,100.0,100.0
12,97.5,84.0,82.71,100.0,95.2
13,96.5,91.0,77.3,100.0,98.8
14,95.0,86.0,81.7,94.0,100.0
15,98.0,86.0,69.08,94.0,92.8
16,99.5,88.0,87.28,94.0,97.6
17,92.5,93.0,70.48,92.0,94.0
