chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,94.0,97.0,70.44,100.0,94.0
1,96.0,94.0,75.43,96.0,91.6
2,98.0,89.0,100.0,84.0,94.0
3,97.5,89.0,75.31,100.0,91.6
4,98.5,84.0,83.05,72.0,92.8
5,99.5,90.0,75.62,92.0,92.8
6,98.0,87.0,80.3,100.0,92.8
7,97.0,73.0,68.08,42.0,91.6
8,96.5,68.0,78.6,20.0,95.2
9,97.5,87.0,61.62,84.0,91.6
10,96.0,92.0,75.64,92.0,91.6
11,97.0,94.0,77.94,84.0,91.6
12,98.0,87.0,81.93,96.0,94.0
13,96.5,68.0,94.89,24.0,95.2
14,92.5,81.0,84.01,32.0,91.6
15,95.0,82.0,86.15,68.0,94.0
16,97.5,90.0,78.21,96.0,91.6
17,92.5,94.0,64.99,79.66,97.6
