chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,96.0,94.0,83.55,100.0,94.0
1,96.0,91.0,99.06,96.0,91.6
2,99.5,91.0,88.2,92.0,92.8
3,98.0,85.0,78.73,80.0,91.6
4,98.0,83.0,77.3,72.0,92.8
5,97.0,90.0,78.41,88.0,91.6
6,97.5,88.0,80.49,100.0,92.8
7,96.5,64.0,77.53,22.0,92.8
8,92.5,58.0,75.29,0.0,92.8
9,98.5,75.0,70.28,60.0,91.6
10,99.5,91.0,86.13,96.0,91.6
11,97.5,86.0,79.78,68.0,94.0
12,99.5,88.0,86.21,92.0,94.0
13,100.0,66.0,84.97,22.0,95.2
14,97.5,73.0,70.85,28.0,90.4
15,99.0,81.0,95.09,80.0,92.8
16,99.0,93.0,77.34,92.0,91.6
17,91.88,92.0,66.86,78.08,94.0
