chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,93.5,87.0,97.91,84.0,92.8
1,93.5,85.0,77.96,80.0,91.6
2,97.5,87.0,74.55,88.0,91.6
3,98.5,82.0,67.06,60.0,91.6
4,97.5,81.0,72.47,56.0,92.8
5,99.5,83.0,74.44,72.0,91.6
6,100.0,83.0,81.74,88.0,92.8
7,99.5,58.0,77.56,22.0,91.6
8,96.5,48.0,57.03,10.0,89.2
9,96.0,83.0,60.42,44.0,92.8
10,98.5,83.0,81.19,88.0,90.4
11,98.0,87.0,59.86,76.0,92.8
12,96.5,89.0,76.33,76.0,91.6
13,97.5,70.0,81.22,24.0,91.6
14,91.0,72.0,72.41,18.0,90.4
15,97.0,74.0,58.38,40.0,92.8
16,94.0,80.0,89.46,84.0,91.6
17,89.17,93.0,66.58,37.93,97.6
