chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,93.5,99.0,85.3,100.0,94.0
1,96.0,94.0,83.17,100.0,90.4
2,97.5,96.0,79.92,88.0,91.6
3,99.5,92.0,68.7,96.0,94.0
4,97.5,89.0,74.97,84.0,92.8
5,97.0,89.0,70.04,88.0,91.6
6,97.0,91.0,70.36,100.0,95.2
7,98.0,69.0,81.8,22.0,92.8
8,97.5,54.0,67.16,0.0,88.0
9,96.0,90.0,62.37,92.0,89.2
10,96.0,93.0,81.18,92.0,88.0
11,96.0,89.0,62.14,80.0,92.8
12,98.0,86.0,74.19,88.0,90.4
13,99.5,63.0,89.45,18.0,91.6
14,96.5,75.0,82.6,8.0,91.6
15,97.0,80.0,76.52,60.0,91.6
16,98.0,87.0,88.29,88.0,91.6
17,92.14,93.0,77.49,70.15,94.0
