chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,87.0,91.0,88.67,100.0,95.2
1,76.5,89.0,79.95,84.0,90.4
2,76.0,90.0,67.56,92.0,90.4
3,71.5,85.0,83.35,92.0,91.6
4,72.5,86.0,77.91,80.0,89.2
5,77.0,92.0,81.18,100.0,90.4
6,82.0,86.0,62.24,92.0,92.8
7,92.0,65.0,66.08,30.0,90.4
8,76.0,54.0,38.06,4.0,89.2
9,72.5,83.0,64.42,64.0,90.4
10,76.0,85.0,90.35,80.0,91.6
11,75.5,85.0,69.11,72.0,92.8
12,86.0,90.0,68.11,84.0,92.8
13,79.0,72.0,73.64,12.0,92.8
14,65.5,77.0,64.18,16.0,92.8
15,62.5,81.0,62.78,76.0,92.8
16,82.5,87.0,74.61,76.0,91.6
17,73.33,94.0,72.83,53.33,97.6
