chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,94.5,96.0,76.16,100.0,95.2
1,95.5,92.0,82.63,92.0,90.4
2,97.5,92.0,86.33,92.0,91.6
3,99.0,92.0,76.92,96.0,89.2
4,97.5,93.0,75.88,84.0,88.0
5,99.0,90.0,73.23,80.0,90.4
6,99.0,88.0,83.5,100.0,92.8
7,99.5,68.0,75.39,28.0,90.4
8,98.0,57.0,87.62,6.0,89.2
9,96.5,90.0,65.12,80.0,90.4
10,99.5,87.0,82.38,92.0,91.6
11,96.0,82.0,65.37,80.0,92.8
12,98.5,84.0,67.88,92.0,94.0
13,97.5,63.0,81.32,18.0,92.8
14,92.5,77.0,84.36,22.0,91.6
15,96.5,86.0,81.96,80.0,92.8
16,96.5,88.0,79.37,96.0,91.6
17,92.86,91.0,71.06,82.61,95.2
