chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,96.5,93.0,81.67,100.0,86.8
1,97.5,91.0,91.58,100.0,85.6
2,94.5,91.0,84.8,100.0,85.6
3,97.0,90.0,71.38,100.0,90.4
4,98.5,86.0,65.14,88.0,88.0
5,93.5,94.0,75.4,100.0,88.0
6,99.0,92.0,91.94,100.0,92.8
7,97.5,81.0,86.86,100.0,90.4
8,96.5,83.0,80.9,100.0,83.2
9,98.5,89.0,82.48,88.0,83.2
10,96.0,89.0,68.63,100.0,83.2
11,96.5,87.0,67.34,100.0,88.0
12,96.5,87.0,78.62,100.0,88.0
13,97.0,86.0,85.66,96.0,88.0
14,94.0,85.0,82.87,94.0,80.8
15,94.0,85.0,63.73,90.0,88.0
16,94.0,92.0,87.62,100.0,83.2
17,93.33,91.0,70.05,90.0,90.4
