chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,97.0,92.0,86.53,100.0,100.0
1,95.5,88.0,91.93,100.0,100.0
2,95.5,92.0,78.19,100.0,96.4
3,97.5,87.0,63.63,100.0,97.6
4,97.5,89.0,61.82,88.0,96.4
5,95.0,93.0,83.84,100.0,97.6
6,99.0,92.0,76.66,100.0,98.8
7,97.5,88.0,84.72,100.0,98.8
8,96.0,82.0,65.19,92.0,96.4
9,97.5,88.0,69.8,88.0,98.8
10,95.5,87.0,66.41,100.0,98.8
11,96.0,87.0,70.81,100.0,95.2
12,98.5,85.0,81.82,100.0,100.0
13,97.0,89.0,87.29,100.0,97.6
14,94.5,78.0,76.56,94.0,100.0
15,98.5,82.0,73.81,90.0,100.0
16,96.5,84.0,80.67,94.0,98.8
17,88.57,92.0,76.5,90.16,96.4
