chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,95.5,97.0,92.48,100.0,94.0
1,97.0,83.0,82.87,72.0,91.6
2,98.5,81.0,85.63,84.0,92.8
3,98.0,76.0,74.6,44.0,91.6
4,98.5,87.0,67.66,68.0,92.8
5,97.5,75.0,84.18,60.0,90.4
6,97.0,73.0,78.14,60.0,92.8
7,97.0,65.0,71.57,12.0,92.8
8,95.0,56.0,84.83,4.0,89.2
9,99.0,71.0,63.82,28.0,91.6
10,97.0,81.0,75.44,84.0,91.6
11,96.0,88.0,70.84,88.0,94.0
12,99.0,84.0,78.33,100.0,92.8
13,98.5,63.0,90.91,28.0,92.8
14,97.5,78.0,92.45,32.0,90.4
15,96.5,80.0,59.42,76.0,92.8
16,96.5,87.0,83.62,100.0,91.6
17,93.57,93.0,70.02,87.5,96.4
