chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,95.5,96.0,94.04,100.0,94.0
1,97.5,94.0,92.07,100.0,91.6
2,98.5,96.0,89.06,92.0,91.6
3,97.5,93.0,72.59,100.0,91.6
4,97.5,87.0,90.33,72.0,92.8
5,98.5,94.0,76.87,100.0,91.6
6,97.5,92.0,91.27,100.0,94.0
7,97.0,72.0,72.64,34.0,92.8
8,99.0,76.0,87.11,10.0,89.2
9,97.5,90.0,70.96,80.0,90.4
10,99.5,93.0,82.85,88.0,91.6
11,97.0,90.0,78.48,48.0,94.0
12,100.0,90.0,88.96,76.0,92.8
13,98.0,76.0,83.84,18.0,92.8
14,95.0,80.0,79.1,24.0,90.4
15,98.5,89.0,73.08,80.0,92.8
16,95.0,91.0,78.47,80.0,91.6
17,91.43,94.0,72.9,36.51,96.4
