chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,92.5,94.0,74.67,96.0,94.0
1,88.5,82.0,95.12,84.0,91.6
2,89.5,90.0,84.4,88.0,92.8
3,95.0,83.0,89.87,72.0,94.0
4,84.0,81.0,76.03,48.0,91.6
5,93.0,80.0,68.34,72.0,90.4
6,92.5,78.0,85.6,92.0,92.8
7,92.0,75.0,78.58,34.0,91.6
8,91.0,72.0,92.6,10.0,90.4
9,91.0,73.0,81.12,32.0,90.4
10,87.0,82.0,83.28,60.0,89.2
11,89.0,92.0,77.36,60.0,91.6
12,91.0,91.0,85.4,64.0,90.4
13,85.5,85.0,90.5,60.0,92.8
14,85.0,84.0,81.36,44.0,90.4
15,88.5,76.0,91.96,40.0,94.0
16,88.5,93.0,77.65,60.0,91.6
17,87.86,93.0,58.0,63.08,96.4
