chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,87.0,91.0,77.17,88.0,94.0
1,81.0,83.0,81.95,88.0,91.6
2,82.5,88.0,88.29,84.0,92.8
3,81.5,85.0,69.95,84.0,90.4
4,78.0,81.0,65.72,84.0,92.8
5,84.5,79.0,75.83,76.0,91.6
6,99.5,77.0,91.97,88.0,96.4
7,95.0,74.0,81.62,30.0,92.8
8,87.5,63.0,75.1,0.0,90.4
9,93.5,82.0,77.68,92.0,90.4
10,93.5,85.0,79.61,88.0,91.6
11,94.5,90.0,72.01,76.0,91.6
12,84.5,94.0,79.76,76.0,91.6
13,87.5,75.0,81.95,10.0,92.8
14,80.0,85.0,82.84,38.0,90.4
15,94.0,81.0,67.24,76.0,92.8
16,90.5,88.0,77.43,96.0,91.6
17,89.17,93.0,72.71,100.0,96.4
