chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,96.0,92.0,87.68,100.0,100.0
1,97.0,91.0,86.23,100.0,98.8
2,97.0,88.0,80.21,100.0,95.2
3,96.0,86.0,75.32,100.0,95.2
4,98.0,85.0,78.2,88.0,100.0
5,92.5,93.0,74.77,100.0,96.4
6,98.0,89.0,74.67,100.0,97.6
7,97.0,89.0,77.34,100.0,94.0
8,91.5,86.0,80.28,100.0,94.0
9,96.0,83.0,77.42,78.0,90.4
10,93.5,85.0,83.15,92.0,95.2
11,94.5,79.0,61.97,96.0,95.2
12,94.0,87.0,76.49,100.0,94.0
13,94.0,87.0,85.64,96.0,100.0
14,91.5,83.0,76.96,94.0,97.6
15,95.5,87.0,65.44,94.0,96.4
16,98.0,90.0,79.31,94.0,97.6
17,90.0,89.0,82.5,91.67,95.2
