chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,97.0,99.0,85.2,100.0,92.8
1,96.5,86.0,98.87,88.0,91.6
2,98.5,90.0,84.34,96.0,94.0
3,97.5,82.0,79.6,80.0,92.8
4,98.5,90.0,93.77,96.0,95.2
5,100.0,93.0,83.37,100.0,91.6
6,99.0,75.0,99.26,92.0,94.0
7,94.5,60.0,73.36,26.0,92.8
8,98.0,61.0,84.83,0.0,91.6
9,98.0,80.0,77.46,64.0,91.6
10,99.0,84.0,87.95,68.0,91.6
11,96.5,89.0,67.82,60.0,94.0
12,99.5,86.0,91.64,64.0,91.6
13,97.5,66.0,81.32,18.0,92.8
14,95.0,87.0,75.5,54.0,91.6
15,98.0,77.0,84.19,72.0,91.6
16,97.5,86.0,74.87,96.0,91.6
17,85.56,88.0,83.63,80.95,95.2
