chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,97.0,100.0,79.11,100.0,92.8
1,97.0,93.0,69.0,100.0,91.6
2,96.0,92.0,74.24,96.0,92.8
3,100.0,92.0,86.99,100.0,92.8
4,99.5,88.0,82.29,72.0,92.8
5,98.5,93.0,74.46,100.0,91.6
6,99.0,87.0,74.55,100.0,92.8
7,96.5,75.0,61.42,42.0,92.8
8,97.0,69.0,94.94,8.0,90.4
9,97.5,90.0,69.97,80.0,91.6
10,98.5,91.0,76.32,84.0,91.6
11,98.5,90.0,85.33,76.0,94.0
12,98.0,82.0,72.9,100.0,94.0
13,99.5,77.0,80.76,24.0,94.0
14,91.5,80.0,80.19,28.0,90.4
15,100.0,84.0,72.32,80.0,92.8
16,99.5,89.0,82.12,88.0,91.6
17,90.62,89.0,80.29,83.33,95.2
