chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,94.5,92.0,83.41,92.0,94.0
1,90.0,84.0,82.5,80.0,91.6
2,97.5,87.0,86.72,92.0,90.4
3,96.5,79.0,71.24,84.0,90.4
4,95.0,78.0,68.6,60.0,91.6
5,91.5,80.0,84.98,76.0,91.6
6,94.5,80.0,76.38,100.0,92.8
7,90.0,76.0,97.96,54.0,91.6
8,64.0,73.0,82.16,26.0,91.6
9,87.0,71.0,68.45,32.0,89.2
10,86.0,84.0,80.66,76.0,91.6
11,92.5,93.0,90.39,76.0,92.8
12,88.5,91.0,84.92,64.0,91.6
13,85.0,77.0,79.95,38.0,92.8
14,82.5,81.0,76.2,16.0,90.4
15,82.5,71.0,61.89,36.0,90.4
16,91.5,92.0,69.92,72.0,91.6
17,86.67,97.0,60.71,52.94,96.4
