chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,95.0,98.0,82.6,100.0,95.2
1,95.0,91.0,76.54,100.0,91.6
2,98.5,92.0,83.12,96.0,94.0
3,98.0,89.0,79.81,100.0,92.8
4,100.0,89.0,79.34,84.0,94.0
5,98.5,90.0,69.86,100.0,90.4
6,97.0,84.0,77.15,100.0,92.8
7,93.5,72.0,69.97,30.0,91.6
8,96.0,62.0,86.63,4.0,91.6
9,97.0,85.0,70.59,84.0,91.6
10,99.0,87.0,86.07,96.0,92.8
11,95.5,96.0,89.22,100.0,91.6
12,98.0,94.0,73.74,92.0,91.6
13,94.5,77.0,76.63,14.0,94.0
14,93.0,82.0,70.98,30.0,91.6
15,99.0,80.0,82.52,68.0,94.0
16,100.0,97.0,82.2,84.0,91.6
17,95.0,97.0,55.66,70.59,95.2
