chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,97.0,84.0,73.35,72.0,90.4
1,96.5,78.0,88.8,60.0,91.6
2,98.5,85.0,78.23,92.0,91.6
3,95.0,79.0,79.33,48.0,90.4
4,96.5,80.0,73.87,48.0,94.0
5,97.0,91.0,73.33,100.0,91.6
6,98.0,73.0,77.23,56.0,94.0
7,98.0,76.0,81.41,8.0,92.8
8,97.5,75.0,89.11,36.0,90.4
9,94.5,67.0,69.48,0.0,91.6
10,96.5,74.0,73.7,28.0,92.8
11,95.0,90.0,69.11,56.0,92.8
12,99.5,95.0,99.16,96.0,92.8
13,99.0,79.0,80.18,58.0,92.8
14,94.5,86.0,85.9,44.0,90.4
15,93.0,69.0,79.6,32.0,92.8
16,98.5,90.0,76.2,64.0,90.4
17,92.86,92.0,64.49,18.75,94.0
