segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,10,10,10,10,10,10,10,10,10,10,10,10,10
1,10,10,10,10,4,10,10,10,6,10,10,10,6
2,10,10,10,10,10,10,10,10,6,10,10,6,6
3,10,10,10,10,8,10,10,10,8,10,10,6,6
4,10,10,10,10,8,10,10,10,6,10,10,6,6
5,10,10,10,10,6,10,10,8,10,10,10,8,4
6,10,10,8,8,10,8,8,6,10,10,10,8,4
7,10,10,8,8,10,6,6,8,10,10,10,8,4
8,8,8,10,10,8,8,10,10,8,8,8,10,4
9,10,8,10,10,10,8,10,10,10,10,10,10,6
10,10,10,10,10,10,8,10,10,10,10,10,10,6
11,10,10,10,10,10,6,10,10,10,10,10,10,6
12,8,6,8,8,10,8,8,8,8,10,10,8,6
13,8,8,6,6,10,6,6,6,10,10,10,8,4
14,10,10,8,8,8,8,8,8,10,8,8,8,4
15,10,10,10,10,4,8,8,8,4,10,10,10,4
16,10,10,10,8,6,6,8,8,8,8,10,10,4
17,10,10,10,10,4,10,10,6,6,6,10,10,4
