segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,6,6,6,6,6,6,6,6,6,6,8,6,6
1,6,6,6,6,6,6,6,6,6,6,6,6,6
2,6,6,6,6,6,6,6,6,6,6,7,6,5
3,6,6,6,6,6,6,6,7,7,6,8,6,6
4,6,6,6,6,6,6,6,7,7,6,7,6,5
5,6,6,6,6,6,6,6,6,6,6,6,6,5
6,6,6,6,6,6,6,6,6,6,6,6,6,5
7,6,6,6,6,6,6,6,6,6,6,7,7,5
8,6,6,6,6,6,6,6,6,6,6,7,6,5
9,5,6,6,6,6,6,6,6,6,6,8,7,6
10,6,6,6,6,6,6,6,6,7,7,8,7,6
11,6,6,6,6,6,7,7,7,6,6,8,7,6
12,5,6,6,7,6,6,6,6,5,5,7,7,5
13,6,6,6,6,6,6,6,6,6,6,8,8,5
14,6,6,6,5,6,6,5,6,5,5,7,7,6
15,6,6,6,6,6,6,6,6,5,5,6,6,5
16,6,6,6,5,6,6,6,6,6,6,8,6,5
17,5,6,6,5,5,5,5,6,5,5,6,5,5
