segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,6,7,6,6,6,6,6,6,6,6,8,6,2
1,6,7,5,6,6,6,6,7,6,6,8,6,2
2,6,7,5,5,6,6,6,6,6,6,8,6,2
3,6,6,6,6,6,6,6,7,5,6,8,6,2
4,6,6,6,6,6,6,6,7,6,6,7,6,2
5,6,6,6,6,6,6,6,6,5,6,8,6,2
6,7,6,6,7,7,5,5,6,5,5,8,7,2
7,7,6,6,7,7,5,5,6,5,5,8,8,2
8,7,6,6,7,7,5,5,6,5,5,8,8,2
9,6,6,6,6,5,5,5,7,5,5,6,7,2
10,6,6,6,6,5,5,5,7,5,5,7,7,2
11,5,5,5,5,5,5,5,6,5,5,7,6,2
12,5,6,6,6,6,5,5,6,6,6,8,6,2
13,5,6,6,6,6,5,5,6,6,6,8,6,1
14,5,5,5,5,6,5,5,6,5,7,7,6,1
15,4,6,6,6,6,6,6,6,6,7,8,7,2
16,5,6,6,6,6,6,5,6,5,6,7,6,2
17,4,5,6,5,5,5,5,5,4,4,5,5,1
