segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,5,6,6,6,6,5,5,6,6,6,7,5,6
1,5,6,5,6,6,5,5,6,5,6,7,2,6
2,5,6,5,6,6,5,5,6,5,6,7,2,6
3,5,6,5,6,6,6,6,6,5,6,7,3,6
4,5,6,5,5,6,6,6,6,6,6,5,2,5
5,5,6,5,5,4,6,6,6,6,6,7,4,5
6,5,6,4,4,6,5,5,6,6,6,7,3,6
7,6,5,5,6,5,7,5,6,6,6,7,3,6
8,5,5,5,5,4,6,5,6,6,5,5,3,6
9,5,5,6,5,6,6,6,6,6,6,8,3,6
10,5,6,5,5,6,6,6,6,6,6,7,3,6
11,5,6,5,5,4,6,6,6,4,6,5,3,6
12,5,6,5,6,6,5,6,6,6,6,7,3,6
13,6,6,7,7,6,6,6,6,6,6,7,2,7
14,5,5,6,6,4,5,6,6,4,6,7,3,6
15,5,6,6,6,6,6,6,6,5,7,7,3,6
16,5,6,6,6,6,6,6,6,6,6,5,3,7
17,6,7,7,7,5,7,6,6,7,7,7,4,7
