segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,3,4,4,4,4,3,3,2,3,3,1,3,5
1,3,4,4,4,4,3,3,2,3,3,1,3,5
2,3,4,4,4,4,3,3,2,3,3,1,3,5
3,3,3,3,3,3,3,3,2,2,2,1,3,5
4,3,3,3,3,3,3,3,2,2,2,1,3,5
5,3,3,3,3,3,3,3,2,2,2,1,3,5
6,4,4,4,4,4,3,3,3,3,3,1,3,5
7,4,4,4,4,4,3,3,3,3,3,2,3,5
8,4,4,4,4,4,3,3,3,3,3,2,3,4
9,3,4,3,3,3,3,3,1,2,3,2,4,5
10,3,4,3,3,3,3,3,1,2,3,1,3,4
11,3,4,3,3,3,3,3,2,2,2,1,3,3
12,4,4,4,3,3,3,3,2,3,2,1,3,4
13,4,4,3,3,3,3,3,2,2,2,1,3,4
14,4,4,3,3,3,3,3,2,2,2,1,3,4
15,4,5,5,5,5,5,5,4,4,3,3,3,5
16,5,5,5,5,5,5,5,4,3,4,3,3,5
17,5,5,5,5,5,5,5,4,4,4,3,3,5
