segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,4,3,4,4,4,4,5,4,5,4,2,5,4
1,4,3,4,4,4,4,5,4,4,3,2,4,4
2,4,3,4,4,3,4,5,4,4,3,2,4,4
3,4,4,4,4,5,4,5,4,3,2,2,5,4
4,4,3,4,4,5,4,5,4,3,3,3,5,4
5,4,3,4,4,3,4,5,4,3,3,1,5,4
6,4,5,5,4,5,4,5,5,4,3,2,3,4
7,5,4,4,4,3,4,4,5,3,3,2,6,4
8,5,3,4,4,3,4,4,5,3,3,2,4,4
9,5,6,5,5,5,5,5,4,3,4,5,5,5
10,5,5,5,5,5,5,5,4,3,3,3,6,5
11,5,5,5,5,3,5,5,4,3,2,1,5,3
12,5,5,5,5,4,5,5,5,4,4,2,6,5
13,5,5,5,5,4,5,5,4,4,4,2,6,5
14,5,5,5,5,4,5,4,4,4,5,3,6,6
15,6,6,6,6,6,6,6,6,5,6,3,6,6
16,6,6,6,6,6,6,6,6,5,5,2,6,6
17,6,6,6,6,6,6,6,5,5,5,2,6,4
