segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,7,8,6,7,5,5,6,8,8,10,5,6,8
1,7,8,5,7,5,5,6,8,8,9,5,5,8
2,7,8,6,7,5,5,6,8,8,10,5,6,8
3,7,8,6,7,5,5,6,8,8,10,5,5,8
4,7,8,6,7,5,5,6,8,8,10,5,6,8
5,7,8,6,7,5,5,6,8,8,10,5,6,8
6,7,8,6,7,5,5,6,8,8,10,5,5,8
7,7,8,6,7,5,5,6,8,8,10,5,7,8
8,7,8,6,7,5,5,6,8,8,10,5,6,8
9,7,8,6,7,5,5,6,8,7,10,5,5,8
10,7,8,5,7,5,5,6,8,8,10,5,5,8
11,7,8,6,7,5,5,6,7,7,10,5,6,8
12,7,8,6,7,5,5,6,8,8,10,5,6,8
13,7,8,5,7,5,5,6,8,8,10,5,7,8
14,7,8,6,7,5,5,6,8,8,10,5,6,7
15,7,8,6,7,5,5,6,8,7,10,6,6,8
16,7,8,6,7,5,5,6,8,8,10,5,6,8
17,7,8,6,7,5,5,6,8,7,10,5,6,8
