segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,7,6,5,6,6,6,8,8,7,8,10,8,2
1,7,6,5,6,7,6,8,8,7,8,10,8,2
2,7,6,5,6,6,6,8,8,7,8,10,8,2
3,7,6,5,6,6,6,8,8,7,8,10,8,2
4,7,6,5,6,7,6,8,8,7,8,10,8,2
5,7,6,5,6,7,6,8,8,7,8,10,8,2
6,7,6,5,6,7,6,8,8,7,8,10,8,2
7,7,6,5,6,6,6,8,8,7,8,10,8,2
8,6,4,4,6,6,5,8,8,7,8,10,8,3
9,7,7,6,6,7,6,8,8,7,8,10,7,2
10,7,6,6,6,7,4,8,8,7,8,10,8,2
11,7,6,6,6,7,5,8,8,7,8,9,8,2
12,7,6,6,6,7,6,8,8,7,8,10,8,2
13,7,6,6,6,7,6,8,8,7,8,10,8,2
14,7,6,6,6,7,6,8,8,7,8,9,8,2
15,7,6,6,6,7,6,8,8,7,9,9,8,2
16,7,6,5,6,7,6,8,8,7,8,10,8,2
17,7,6,6,6,7,6,8,8,7,8,9,8,2
