segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,7,8,7,7,7,7,8,8,8,9,10,7,7
1,7,7,7,7,7,7,8,8,8,9,10,7,6
2,7,8,7,7,7,7,8,8,8,9,10,7,6
3,7,8,7,7,7,6,8,8,8,8,10,7,6
4,7,7,7,7,7,7,8,8,8,8,10,7,6
5,7,7,7,7,7,7,8,8,8,9,10,7,7
6,7,7,7,7,7,7,8,8,8,9,10,7,6
7,7,8,7,7,7,7,8,7,8,9,9,7,6
8,7,6,7,6,7,7,8,8,8,9,10,7,7
9,7,8,7,7,7,7,8,8,8,9,10,7,6
10,7,7,7,7,7,7,8,7,8,9,10,7,6
11,7,8,7,7,7,7,8,7,8,9,10,7,6
12,7,8,7,7,7,7,8,7,8,8,10,7,6
13,7,8,7,7,7,7,8,8,8,9,10,7,7
14,7,8,7,8,7,7,8,8,8,9,9,7,7
15,7,8,7,7,7,7,8,7,8,9,9,6,6
16,7,8,7,7,7,7,8,8,8,9,10,7,7
17,7,8,7,7,7,7,8,8,8,8,10,7,6
