segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,6,6,5,6,5,5,6,7,5,5,5,7,7
1,6,6,5,6,5,4,4,7,5,5,4,7,7
2,5,6,3,6,4,4,4,7,5,5,4,7,6
3,6,6,3,6,5,5,4,7,5,5,4,7,6
4,5,6,3,6,5,5,4,7,5,5,4,7,6
5,5,5,3,6,5,5,4,7,4,5,4,7,6
6,6,5,5,6,6,6,8,7,5,5,7,7,7
7,7,6,5,6,5,5,6,7,5,5,6,7,6
8,6,5,5,5,5,5,6,7,5,5,6,6,7
9,5,6,5,6,5,5,6,7,5,5,6,7,7
10,5,5,4,6,5,5,5,7,4,5,5,7,6
11,6,6,5,6,5,5,4,7,5,5,4,7,7
12,6,6,4,6,5,5,4,7,5,5,4,7,7
13,6,6,4,6,5,5,4,7,5,5,4,7,7
14,5,5,5,6,5,5,6,7,5,5,5,7,6
15,5,5,5,6,5,5,6,7,5,5,4,7,7
16,6,6,5,6,5,5,6,7,4,4,5,7,7
17,6,6,7,6,5,5,6,7,7,7,7,7,7
