segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,9,9,9,9,9,9,10,9,9,10,10,9,9
1,8,9,9,9,9,8,10,9,9,9,9,9,9
2,8,9,9,9,9,9,10,9,9,10,10,8,8
3,8,9,8,9,8,8,10,8,9,10,10,7,9
4,8,9,8,9,8,7,10,9,9,10,9,7,7
5,9,9,9,8,9,8,10,9,9,10,10,8,8
6,8,9,8,9,9,8,10,9,9,10,10,7,8
7,8,9,9,9,9,8,10,9,9,10,9,7,9
8,9,9,8,7,7,7,10,9,9,10,9,7,9
9,9,8,9,8,8,7,10,8,8,10,10,7,9
10,9,9,8,8,8,7,10,9,9,10,9,7,8
11,9,9,8,9,8,8,10,8,8,9,9,7,9
12,8,9,7,8,7,7,10,9,9,9,10,7,9
13,8,9,7,9,8,8,10,9,9,10,10,7,9
14,9,9,7,9,8,7,10,9,9,10,10,6,9
15,8,9,8,9,8,8,10,9,9,10,10,7,9
16,8,9,7,9,8,8,10,9,9,10,9,8,7
17,8,9,7,9,8,8,10,9,9,10,10,9,9
