segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,9,8,7,8,8,7,9,8,10,10,7,8,8
1,9,8,6,7,7,6,9,8,9,10,7,8,7
2,8,8,7,8,8,7,9,8,9,9,8,8,7
3,8,8,7,8,8,7,9,8,9,8,7,8,7
4,8,8,6,7,6,6,8,8,10,8,6,8,8
5,8,8,7,8,7,5,9,8,8,8,6,8,8
6,9,8,7,8,7,6,9,8,10,9,8,8,8
7,8,8,5,8,7,6,6,8,10,7,5,8,7
8,8,8,5,8,5,5,6,8,10,7,5,8,7
9,8,8,5,8,5,6,8,8,10,7,5,8,8
10,8,8,5,8,6,6,8,8,10,7,5,8,7
11,8,8,5,7,5,5,8,8,10,7,5,8,8
12,8,6,7,8,7,6,8,8,10,8,6,8,7
13,8,6,7,8,5,5,7,8,10,7,5,8,7
14,8,6,7,5,7,5,9,8,10,8,6,4,6
15,8,8,6,8,7,5,9,8,10,7,5,5,6
16,8,8,7,8,6,6,9,8,10,8,5,8,8
17,8,8,7,8,7,6,9,8,10,10,8,8,8
