segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,4,5,4,5,4,4,4,5,6,6,3,5,6
1,4,5,4,5,4,4,4,5,6,6,2,4,6
2,5,5,4,5,4,4,4,5,6,6,2,4,6
3,4,5,5,5,5,5,5,5,5,6,2,5,6
4,4,5,5,5,5,5,5,5,5,6,3,5,6
5,5,5,5,5,5,5,5,5,5,6,4,5,6
6,5,5,5,4,5,5,5,5,5,6,4,4,7
7,5,5,4,4,5,5,5,5,5,6,3,4,7
8,5,5,4,4,5,5,5,5,4,6,5,5,6
9,5,5,5,4,5,5,5,5,5,6,4,4,6
10,5,5,4,4,5,5,5,5,5,6,3,3,6
11,4,4,4,4,4,4,5,5,4,4,3,3,6
12,5,5,5,5,4,5,5,6,5,5,3,4,6
13,5,5,5,4,4,4,5,6,5,5,2,3,6
14,4,5,5,4,4,4,4,6,3,3,1,3,6
15,5,5,5,5,4,5,5,6,5,5,3,4,6
16,5,5,5,4,4,4,5,6,5,5,2,3,6
17,4,5,5,4,4,4,4,6,3,3,1,3,6
