segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,7,7,7,7,7,7,7,7,7,7,8,6,8
1,7,7,7,7,7,7,7,7,7,7,8,6,8
2,7,7,7,6,7,7,7,7,6,6,8,7,8
3,7,7,7,7,7,7,7,7,7,7,7,6,8
4,6,7,7,7,7,7,7,7,7,7,7,6,8
5,6,7,7,7,7,7,7,7,6,7,7,6,7
6,7,7,8,7,7,7,7,7,7,7,7,7,8
7,7,7,7,8,7,7,7,7,7,7,7,8,8
8,6,6,7,8,7,8,7,7,6,6,7,7,7
9,6,7,7,8,7,7,7,7,6,7,8,8,6
10,7,7,7,8,7,7,7,7,7,7,8,7,7
11,7,7,7,8,7,7,8,8,7,7,8,7,7
12,7,7,7,7,7,7,7,7,7,7,7,6,7
13,7,7,7,7,7,7,7,7,7,7,7,8,7
14,7,7,7,7,7,7,7,7,7,7,7,6,6
15,7,7,7,7,7,7,7,7,7,7,8,6,7
16,7,7,7,7,7,7,6,6,7,7,8,6,7
17,6,6,6,6,6,6,6,6,7,5,7,6,7
