segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,5,6,5,6,6,6,5,6,6,7,5,5,4
1,5,6,5,5,6,6,6,6,7,7,8,5,4
2,5,6,5,6,6,6,6,6,7,7,7,6,6
3,6,7,6,6,6,6,6,6,7,7,7,7,5
4,6,6,6,6,6,6,6,6,6,7,7,7,5
5,6,6,6,7,6,7,6,6,7,7,8,6,6
6,6,6,6,5,6,5,6,5,6,7,7,7,4
7,6,5,5,6,5,5,5,5,6,6,6,6,4
8,5,5,5,5,5,5,5,5,5,5,7,6,4
9,6,7,6,7,6,6,6,5,5,6,6,6,5
10,6,6,6,5,5,6,6,5,5,6,6,5,4
11,6,6,6,6,6,6,6,5,5,5,7,5,5
12,6,6,6,6,6,6,6,6,6,5,7,6,5
13,5,6,6,6,6,6,6,6,5,5,6,7,4
14,5,6,6,6,6,6,6,6,5,4,6,7,5
15,6,6,6,6,6,6,6,6,6,6,5,6,5
16,6,6,6,6,6,6,6,6,6,6,6,6,5
17,6,7,7,6,7,6,7,7,7,6,8,7,6
