segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,8,8,10,10,10,10,10,10,10,10,10,10,2
1,10,4,10,10,10,10,10,10,10,10,10,10,0
2,10,4,10,10,10,10,10,10,10,10,10,10,0
3,10,8,10,10,10,10,10,10,10,10,10,10,0
4,10,10,10,10,10,10,10,10,10,10,10,10,0
5,10,10,10,10,10,10,10,10,10,10,10,10,0
6,10,10,10,10,10,10,10,10,10,10,10,10,0
7,10,10,10,10,10,10,10,10,10,10,10,10,2
8,10,10,10,10,10,10,10,10,10,10,10,10,2
9,10,10,10,10,10,10,10,10,10,10,10,10,2
10,10,10,10,10,10,10,10,10,10,10,10,10,0
11,10,10,10,10,10,10,10,10,10,10,10,10,0
12,10,10,10,10,10,10,10,10,10,10,10,10,0
13,10,10,10,10,10,10,10,10,10,10,10,10,2
14,10,10,10,10,10,10,10,10,10,10,10,10,0
15,10,10,10,10,10,10,10,10,10,10,10,10,0
16,10,10,10,10,10,10,10,10,10,10,10,10,0
17,10,10,10,10,10,10,10,10,10,10,10,10,0
