segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,4,5,4,4,3,3,4,6,6,6,7,2,6
1,4,5,4,3,3,3,3,6,5,5,7,1,4
2,4,5,4,3,3,3,3,6,6,6,7,1,5
3,4,4,4,3,4,4,4,6,2,4,7,1,6
4,4,4,4,3,3,4,4,6,5,5,7,2,5
5,4,4,4,3,3,4,4,6,5,5,7,2,4
6,4,3,3,3,3,4,4,6,6,5,7,2,7
7,4,3,3,3,3,4,4,5,5,6,7,2,5
8,4,3,3,3,3,4,4,5,5,6,7,2,5
9,3,3,3,3,3,4,4,5,4,4,6,2,5
10,3,3,3,3,3,4,5,5,6,6,7,1,6
11,5,5,5,7,6,7,5,5,7,6,8,3,7
12,4,4,4,4,4,5,4,5,6,6,7,2,6
13,4,4,4,4,4,5,4,4,6,6,7,2,6
14,4,4,4,4,4,5,4,4,6,6,7,2,6
15,3,5,5,5,5,5,4,4,6,6,7,2,6
16,4,4,4,5,5,5,4,4,6,6,7,2,6
17,4,4,4,4,5,5,4,4,4,4,6,1,5
