segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,4,4,4,5,5,5,6,6,6,6,2,4,2
1,4,5,4,5,5,5,6,6,6,6,1,4,2
2,4,5,4,5,4,5,6,6,6,6,2,4,3
3,4,5,4,5,5,5,5,6,6,6,1,5,5
4,4,5,4,5,5,5,5,6,5,5,1,5,4
5,4,5,4,5,5,5,5,5,5,5,1,5,5
6,4,5,4,5,5,5,5,5,6,6,1,3,6
7,4,5,4,5,5,5,5,5,5,5,1,6,6
8,4,5,4,5,5,5,5,5,5,5,1,5,5
9,4,5,4,5,5,5,5,5,3,3,1,3,5
10,4,5,4,5,5,5,5,5,3,4,1,5,5
11,4,4,4,5,5,5,4,4,3,3,1,4,5
12,4,5,4,5,5,5,5,6,5,5,1,5,6
13,4,5,4,5,5,5,5,6,5,5,1,5,6
14,4,4,4,4,5,5,5,6,5,5,1,5,6
15,4,5,4,4,5,5,5,5,4,4,1,6,6
16,4,5,4,4,5,5,5,5,5,5,1,5,5
17,4,5,4,4,5,5,5,4,4,4,1,5,5
