segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,5,6,6,6,5,6,7,7,8,7,7,6,5
1,6,6,6,6,5,6,6,7,8,7,8,5,7
2,6,7,6,6,5,5,6,7,8,7,8,4,7
3,7,7,6,6,6,5,6,7,8,8,8,5,7
4,7,8,6,7,6,6,6,7,7,8,8,2,8
5,7,8,6,7,6,6,6,7,8,8,9,4,8
6,7,8,5,7,7,7,7,7,8,8,9,2,8
7,7,8,5,8,7,8,8,7,7,8,9,2,8
8,7,8,5,7,6,7,7,7,7,7,9,4,8
9,6,7,5,6,6,6,6,7,7,7,8,2,7
10,6,7,5,6,6,6,6,7,5,7,8,3,7
11,5,7,5,6,5,5,5,5,6,5,5,2,5
12,6,7,5,7,7,6,7,7,6,7,8,3,6
13,6,7,5,7,7,7,7,7,7,7,8,2,7
14,6,7,5,7,6,6,7,7,8,7,8,3,7
15,7,7,5,7,7,6,7,7,8,7,8,2,7
16,7,7,5,7,7,7,7,7,6,7,8,2,6
17,7,7,5,7,7,7,7,7,6,6,8,4,6
