segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,5,5,5,5,5,5,5,5,4,5,2,3,6
1,5,5,5,5,5,5,5,5,4,5,2,3,6
2,5,5,5,5,5,5,5,5,4,5,2,3,6
3,4,5,5,5,5,5,5,6,5,5,3,5,6
4,4,5,5,5,5,5,5,6,5,5,3,5,6
5,4,5,5,5,5,5,4,6,4,5,2,5,6
6,4,5,5,5,5,5,5,6,5,6,2,3,7
7,4,5,5,5,5,5,5,6,5,6,2,3,6
8,4,5,5,5,5,5,5,6,5,6,2,2,6
9,4,5,4,5,5,5,5,5,5,5,5,2,6
10,4,5,4,5,5,5,5,5,5,5,2,3,7
11,4,4,4,5,4,4,5,5,5,5,2,3,6
12,5,5,5,5,5,5,5,5,5,5,3,3,6
13,5,5,4,5,5,5,5,5,5,5,3,3,6
14,5,5,4,4,4,5,5,5,4,5,3,3,5
15,5,5,5,5,5,5,5,6,5,5,5,3,6
16,5,5,5,5,5,5,5,6,6,5,2,3,6
17,5,5,5,5,4,4,4,6,4,4,3,3,6
