segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,4,3,3,3,3,3,3,5,3,5,7,6,1
1,4,3,3,3,3,3,3,5,4,5,8,6,1
2,4,3,3,3,3,3,3,5,4,4,7,6,1
3,4,3,3,3,3,4,4,4,3,5,8,5,1
4,4,3,3,3,3,3,3,5,4,5,7,5,1
5,4,3,3,3,3,3,3,5,4,5,7,5,1
6,4,4,3,3,3,3,3,5,3,5,8,4,1
7,4,4,3,3,3,3,3,6,3,4,8,3,1
8,4,4,3,3,3,3,3,6,4,4,8,3,1
9,3,5,3,4,3,3,3,5,5,5,8,2,1
10,4,5,3,4,3,3,3,5,5,5,7,2,1
11,4,4,3,3,3,3,3,4,4,4,5,2,1
12,4,3,3,3,3,3,3,4,5,5,7,2,1
13,4,3,3,3,3,3,3,4,5,5,7,2,1
14,4,3,3,3,3,2,2,4,5,5,5,3,1
15,4,3,3,3,3,3,3,4,5,6,8,4,1
16,4,3,3,3,3,3,3,4,4,6,8,4,1
17,4,3,3,3,3,3,3,4,4,6,8,4,1
