segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,5,6,5,5,5,5,5,6,5,5,5,4,3
1,5,6,5,4,5,5,5,6,5,5,5,4,3
2,5,6,5,5,5,5,5,6,5,5,5,4,3
3,5,5,5,5,5,5,5,5,5,5,4,3,3
4,4,5,4,4,5,5,5,5,5,5,5,3,3
5,4,4,4,3,5,5,5,5,5,5,5,3,3
6,5,5,5,4,4,4,4,5,5,5,5,3,3
7,5,5,4,4,4,4,4,5,5,5,5,2,2
8,5,3,3,3,3,4,4,5,5,5,5,3,2
9,4,3,4,4,4,4,4,5,5,5,3,3,3
10,4,3,4,4,4,4,4,5,5,5,4,3,3
11,4,3,4,4,4,4,4,5,3,4,4,3,3
12,4,5,4,4,5,4,4,6,5,5,5,3,3
13,4,5,4,4,5,4,4,6,5,5,5,2,3
14,5,4,4,5,4,4,4,6,5,4,5,2,3
15,5,4,5,5,5,5,5,5,5,5,5,2,3
16,5,5,5,5,5,5,5,5,5,5,6,3,3
17,5,5,5,5,5,5,5,5,4,4,6,3,4
