segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,4,5,4,4,4,4,4,6,6,6,5,5,5
1,4,5,4,4,4,4,4,6,6,6,3,5,5
2,4,4,4,4,4,4,4,6,3,5,3,5,5
3,4,5,4,4,4,5,5,5,5,5,1,4,5
4,4,5,4,4,4,5,5,5,4,5,1,5,5
5,4,5,4,4,4,5,5,5,5,5,1,4,5
6,4,5,4,4,4,5,5,6,4,5,2,3,5
7,4,5,4,4,4,5,5,6,5,5,4,4,4
8,4,4,4,4,4,5,5,5,5,6,2,5,6
9,5,5,4,4,4,5,6,6,3,5,5,4,6
10,5,5,4,5,5,4,6,6,3,5,2,4,6
11,5,5,5,5,5,5,6,6,4,6,5,5,6
12,3,5,5,5,5,5,5,6,3,5,2,4,5
13,4,4,5,5,5,5,5,5,5,6,1,4,5
14,4,4,5,5,5,5,5,5,6,6,1,4,5
15,3,3,4,4,5,5,5,5,4,5,3,4,5
16,5,6,6,5,5,6,6,6,6,6,6,5,6
17,5,5,4,4,5,5,5,6,6,5,5,5,5
