segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,6,6,6,5,5,6,6,6,5,5,8,6,4
1,6,6,6,6,6,6,5,7,6,6,8,7,4
2,6,6,6,6,6,6,6,7,6,6,8,7,5
3,6,6,6,6,6,6,6,6,6,6,8,7,5
4,5,6,6,6,6,6,6,6,6,6,8,8,5
5,5,6,6,6,6,6,6,6,6,6,7,6,7
6,6,6,6,6,6,6,6,6,6,6,8,5,5
7,5,6,6,6,6,6,6,5,6,7,8,7,4
8,4,5,6,6,6,6,6,5,6,6,7,7,5
9,6,6,7,7,7,7,7,7,7,7,8,8,7
10,6,6,6,6,6,6,6,6,6,6,6,8,6
11,6,6,6,6,6,6,6,6,5,5,7,6,7
12,5,5,5,5,5,5,6,6,5,5,6,7,6
13,5,5,5,5,5,5,5,6,6,6,6,7,5
14,5,5,5,5,5,5,6,6,6,6,5,7,6
15,5,5,5,5,5,5,5,6,6,6,6,6,5
16,5,5,5,5,5,5,5,6,5,5,6,6,5
17,5,5,5,5,5,5,5,6,4,4,5,5,5
