segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,5,5,5,4,4,4,4,6,4,4,7,5,3
1,5,4,4,4,4,4,4,6,4,4,7,5,3
2,5,5,4,4,4,4,4,6,4,4,7,5,2
3,4,5,4,4,5,5,5,5,3,3,7,4,3
4,5,5,4,5,5,5,5,5,4,5,7,5,5
5,4,5,4,4,5,5,5,5,4,4,4,5,5
6,5,5,4,4,4,4,5,5,5,5,5,4,3
7,5,5,4,4,4,4,5,5,5,5,6,4,5
8,5,5,4,4,4,4,5,5,4,5,5,4,3
9,4,4,4,4,4,4,4,5,5,5,6,3,3
10,4,4,4,4,4,4,4,5,5,5,5,3,3
11,4,4,4,4,4,4,4,5,4,5,5,3,3
12,4,5,4,5,5,5,5,5,5,4,5,4,3
13,4,5,5,5,5,5,5,5,5,4,5,4,3
14,4,5,5,5,5,5,5,5,5,4,5,4,3
15,5,5,4,4,4,4,5,5,5,5,6,5,3
16,4,5,4,4,4,4,4,5,5,5,6,5,3
17,4,5,4,4,4,4,4,5,3,3,5,5,3
