segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,6,6,6,7,6,5,5,6,6,6,7,5,6
1,6,6,7,7,6,5,6,6,6,6,7,3,6
2,5,6,6,6,5,5,5,5,6,6,7,5,6
3,5,6,5,5,5,5,5,2,6,6,7,4,6
4,5,5,5,5,5,5,5,2,6,5,7,3,5
5,5,5,5,5,5,5,5,3,5,5,4,4,5
6,5,6,5,6,5,5,5,3,5,5,6,4,5
7,5,6,5,6,5,5,6,4,5,5,6,3,3
8,5,5,5,5,5,5,5,4,4,4,5,3,5
9,6,7,5,5,5,5,5,4,5,5,6,3,6
10,5,6,5,5,5,5,5,4,5,5,6,2,5
11,5,5,5,5,5,5,5,4,4,4,5,4,5
12,4,5,4,5,5,5,5,5,5,5,6,4,5
13,5,6,4,5,5,6,4,5,5,6,6,3,5
14,4,5,4,5,3,5,4,5,4,5,6,3,5
15,5,4,5,5,5,5,5,5,5,5,6,3,5
16,5,5,5,5,5,5,5,5,5,6,4,3,5
17,7,6,6,6,6,6,6,5,5,6,7,4,6
