segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,5,5,6,6,6,6,6,6,6,6,7,7,7
1,5,6,6,6,6,6,6,6,6,6,7,7,7
2,5,6,6,6,6,6,6,6,6,6,7,7,7
3,7,7,7,7,7,7,7,7,7,7,8,7,7
4,7,7,7,7,7,7,7,7,7,7,8,8,7
5,7,6,7,7,7,7,7,7,7,7,8,7,7
6,7,6,6,6,6,6,6,6,6,6,7,7,7
7,6,6,6,6,6,6,6,6,6,6,6,7,6
8,6,5,5,6,6,6,6,6,6,6,7,7,7
9,6,6,6,7,7,6,6,6,6,6,6,7,7
10,6,6,6,7,6,6,6,6,6,6,6,7,7
11,6,6,6,6,6,6,6,6,5,6,5,6,7
12,5,6,5,6,5,5,5,6,6,6,6,7,7
13,5,6,5,6,5,5,5,5,5,6,4,6,6
14,5,5,5,5,5,5,5,5,5,6,4,7,6
15,5,6,6,6,6,6,6,6,6,6,6,7,7
16,5,6,6,6,6,6,6,6,6,6,6,7,7
17,6,6,6,6,5,6,6,5,6,6,7,7,7
