segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,4,5,5,4,4,4,4,3,4,5,2,4,6
1,4,5,5,4,4,4,4,3,4,5,1,4,6
2,4,5,5,4,4,4,4,3,4,5,4,4,6
3,4,5,5,4,4,4,3,3,2,4,3,4,5
4,4,5,5,4,4,4,3,3,2,4,2,5,5
5,4,5,5,4,4,4,3,3,2,4,3,4,5
6,5,5,4,4,4,4,4,4,3,4,3,5,6
7,5,5,4,4,4,4,3,3,3,4,2,5,6
8,4,5,4,4,4,4,3,4,3,4,2,5,6
9,4,5,5,4,4,4,4,3,3,4,2,4,5
10,4,5,4,4,4,4,4,3,3,4,2,4,4
11,4,5,4,4,4,4,4,3,2,3,1,4,4
12,4,4,3,3,3,3,3,2,3,3,0,3,5
13,3,4,3,3,3,3,3,2,2,3,0,2,5
14,3,4,3,3,3,3,3,2,2,3,0,2,5
15,4,4,3,4,4,4,4,4,3,4,2,3,5
16,4,4,4,4,4,4,4,4,3,4,2,3,5
17,4,4,4,5,5,5,5,4,6,5,5,4,5
