segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,5,5,5,6,6,5,5,6,5,5,8,6,6
1,5,5,5,6,6,5,5,6,5,5,8,6,6
2,5,5,5,6,6,5,5,6,5,5,8,6,6
3,5,6,5,6,5,5,5,5,6,6,8,5,6
4,5,6,5,6,5,5,5,5,6,6,7,5,6
5,5,6,5,6,5,5,5,5,6,6,7,5,6
6,6,6,6,6,6,5,6,6,5,6,8,5,6
7,6,6,6,6,6,6,6,6,5,6,6,6,5
8,6,6,6,6,3,5,5,5,4,6,6,6,5
9,5,5,5,5,5,5,5,4,5,5,7,5,6
10,5,5,5,5,5,5,5,4,5,5,7,5,6
11,5,5,5,5,4,4,4,4,3,5,6,6,6
12,5,6,6,6,5,6,5,5,5,5,8,6,6
13,5,6,6,6,5,5,5,5,5,5,7,5,6
14,5,6,6,6,3,5,5,4,4,5,7,6,6
15,4,5,5,5,5,5,5,4,5,5,8,6,6
16,5,5,5,5,5,5,5,5,5,5,8,6,7
17,6,6,5,6,5,5,6,5,6,6,8,6,7
