segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,5,5,5,5,4,5,5,5,4,6,7,5,1
1,4,3,4,4,4,5,5,5,4,6,8,5,2
2,4,4,4,3,4,5,4,6,3,6,8,6,2
3,5,5,4,4,4,5,5,5,4,5,7,6,1
4,5,5,5,4,4,5,4,5,4,6,8,6,3
5,5,3,3,4,4,5,4,4,3,5,8,6,2
6,4,4,5,4,5,5,5,5,4,5,7,4,2
7,4,3,5,4,4,5,5,5,4,5,5,7,4
8,4,2,5,3,3,5,5,5,6,6,8,6,3
9,5,5,4,4,5,5,6,6,5,5,7,6,2
10,4,3,4,3,4,4,5,6,5,6,7,6,1
11,4,3,4,3,5,5,5,5,5,6,7,6,1
12,4,5,4,5,5,5,4,5,3,5,7,5,2
13,4,5,4,5,4,5,4,5,4,5,4,6,2
14,3,4,4,4,3,3,4,4,5,5,4,6,2
15,5,6,5,5,6,5,5,5,5,6,8,6,1
16,5,5,5,5,5,5,5,5,5,5,8,5,2
17,6,6,5,6,6,6,6,6,6,6,8,6,3
