segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,6,6,6,6,5,5,5,5,7,7,8,5,5
1,7,7,7,7,7,7,7,7,8,8,9,5,7
2,6,6,6,6,6,6,6,6,7,7,8,3,4
3,6,6,5,5,5,6,6,4,7,7,8,3,4
4,6,6,6,6,6,6,6,6,7,7,6,4,4
5,5,6,5,5,5,5,5,5,5,5,8,3,4
6,5,5,4,5,5,5,4,4,5,6,8,2,3
7,5,6,6,6,6,6,6,3,6,6,7,2,3
8,5,5,5,5,6,6,6,5,5,5,8,3,3
9,5,6,5,5,6,7,6,4,6,6,8,3,4
10,6,6,6,6,6,6,5,4,7,6,9,3,5
11,5,5,6,6,6,6,6,5,6,6,9,4,4
12,6,6,6,6,7,7,6,6,7,7,9,4,2
13,5,6,4,6,6,6,5,6,7,8,9,2,5
14,5,5,5,5,6,6,5,5,6,6,9,3,4
15,6,6,6,6,6,6,6,4,7,7,9,3,5
16,5,5,5,5,5,5,5,4,6,6,8,3,3
17,4,5,4,4,5,5,6,5,6,5,8,3,5
