segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,5,5,5,5,6,5,5,5,5,6,2,5,6
1,5,5,5,5,6,6,5,5,6,6,2,5,6
2,5,5,5,5,4,6,5,5,6,6,2,5,6
3,4,5,5,5,6,6,6,6,6,6,3,6,7
4,5,5,6,5,6,6,6,6,6,6,3,6,7
5,5,5,5,5,4,5,6,6,5,6,4,5,5
6,4,4,5,4,5,5,5,5,5,5,4,6,5
7,5,5,5,4,5,5,5,5,5,5,3,5,5
8,5,5,5,5,3,5,5,5,4,5,2,5,6
9,5,5,5,5,4,5,5,5,3,3,2,5,5
10,5,5,5,5,5,5,4,5,3,5,2,6,5
11,5,5,5,4,3,5,5,5,3,4,2,6,5
12,4,5,5,5,5,5,5,5,4,4,3,5,6
13,5,5,5,5,5,5,4,6,4,4,3,5,6
14,5,5,5,5,5,6,5,6,5,4,3,6,7
15,5,6,5,5,5,5,4,6,5,4,2,5,6
16,5,5,5,4,5,5,4,6,4,4,2,5,6
17,5,5,5,5,5,5,5,6,5,5,2,6,5
