segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,4,6,5,5,6,6,6,7,7,7,8,7,5
1,6,5,6,7,7,7,6,7,7,7,8,8,5
2,6,6,6,7,6,7,6,7,7,7,8,8,5
3,6,7,7,6,6,6,6,6,6,6,8,7,6
4,6,7,6,6,6,6,6,6,6,6,7,7,6
5,6,7,6,6,6,6,6,6,6,6,7,7,5
6,5,6,6,6,6,6,6,6,6,6,8,6,6
7,5,6,5,5,4,5,5,6,6,5,8,7,6
8,5,6,5,5,4,6,6,6,6,5,8,7,6
9,5,6,6,6,6,6,6,6,6,6,7,6,5
10,5,6,6,6,6,6,6,6,6,6,8,7,5
11,5,6,6,6,6,6,6,6,6,6,7,7,5
12,6,6,6,6,6,7,7,6,6,7,8,6,6
13,6,6,6,6,6,6,6,6,6,7,7,7,6
14,6,6,6,6,6,6,6,6,6,6,8,7,5
15,6,7,7,7,7,6,7,6,7,6,8,7,6
16,6,7,7,7,7,6,7,6,7,6,8,7,6
17,6,6,6,7,6,6,6,6,6,6,7,7,6
