segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,4,5,5,4,4,4,3,5,4,4,7,7,2
1,4,3,3,3,4,4,3,5,3,4,7,7,0
2,4,3,3,4,4,4,3,5,4,4,7,7,1
3,4,4,4,4,5,5,4,4,4,4,7,8,1
4,5,3,4,4,5,5,4,5,5,5,8,8,2
5,5,3,5,5,5,4,4,5,4,5,8,7,1
6,4,4,4,4,5,5,5,5,5,4,7,7,2
7,4,3,4,3,4,5,4,5,4,5,7,6,1
8,4,3,4,3,3,5,4,5,4,5,7,7,1
9,4,3,3,3,3,4,4,5,5,5,7,6,0
10,4,4,5,5,4,5,5,5,4,5,6,5,1
11,4,3,5,5,4,5,5,5,5,4,5,5,1
12,4,4,5,5,4,5,5,4,3,3,6,5,1
13,4,3,5,5,4,5,4,4,4,4,6,4,1
14,4,4,5,4,4,4,4,4,4,4,5,5,1
15,5,5,6,6,5,5,5,5,5,4,6,6,1
16,5,5,6,5,6,6,6,6,4,5,7,7,1
17,5,5,6,6,6,6,6,6,4,5,6,7,1
