segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,5,5,5,5,6,5,5,5,6,7,8,6,6
1,5,5,5,5,5,5,5,5,5,6,6,5,4
2,5,6,6,6,5,6,6,6,6,7,8,8,7
3,7,6,6,7,7,7,7,7,7,8,8,8,8
4,7,7,7,7,7,7,7,7,7,8,8,8,9
5,7,7,7,7,7,7,7,7,7,7,8,8,9
6,6,6,6,7,7,7,7,7,7,7,7,6,6
7,6,5,6,7,7,7,7,7,7,7,5,6,5
8,5,5,6,8,6,7,7,7,7,7,7,7,7
9,7,7,7,7,7,8,8,8,8,8,9,8,8
10,7,7,7,7,8,7,7,7,7,7,8,8,8
11,7,7,7,7,8,7,7,7,7,7,7,7,7
12,6,6,6,6,6,7,6,6,7,7,7,7,7
13,6,6,6,6,6,6,6,7,7,7,8,6,7
14,6,6,6,6,5,6,6,7,7,6,8,6,7
15,6,6,7,6,6,6,6,6,6,7,7,7,7
16,6,6,6,6,6,6,6,6,6,6,6,7,7
17,6,6,6,6,6,6,6,5,5,5,6,6,6
