segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,8,8,5,8,4,4,5,7,8,9,5,7,7
1,8,7,5,8,4,4,5,7,8,8,4,7,6
2,8,8,5,8,4,4,5,7,8,9,4,7,7
3,8,8,5,8,4,4,5,7,8,9,4,7,8
4,8,8,5,8,4,4,4,7,8,7,4,7,7
5,8,8,5,8,4,4,5,7,8,9,4,7,7
6,8,8,5,8,4,4,5,7,8,9,4,7,6
7,8,8,5,8,4,4,5,7,8,9,4,8,7
8,8,8,4,8,4,4,4,7,8,9,4,7,7
9,8,8,5,8,4,4,5,7,8,8,4,7,7
10,8,8,5,8,4,4,5,7,8,8,4,7,7
11,8,8,5,8,4,4,4,7,8,9,4,7,7
12,8,8,5,8,4,4,5,7,8,9,4,7,6
13,8,8,5,8,4,4,5,7,8,9,4,7,7
14,8,8,5,8,4,4,4,7,8,9,4,7,7
15,8,8,5,8,4,4,5,7,8,9,4,7,7
16,8,8,5,8,4,4,5,7,8,9,4,7,7
17,8,8,4,8,4,4,4,7,8,7,4,7,7
